Frame,Thumb_X,Thumb_Y,Index_X,Index_Y,Middle_X,Middle_Y,Ring_X,Ring_Y,Pinky_X,Pinky_Y
1,0.45927814,0.9760555,0.52811027,0.99078995,0.52997,0.9950975,0.5306272,0.9826166,0.52961874,0.96851593
2,0.46010453,0.97357905,0.52697814,0.9885231,0.53213567,0.99410284,0.5320807,0.9860765,0.53017,0.9687668
3,0.45988286,0.9732293,0.52710253,0.99024725,0.5320429,0.9944784,0.5323272,0.986369,0.5310485,0.96829176
4,0.45958173,0.973407,0.5267417,0.9900144,0.53185093,0.993984,0.53286815,0.9861715,0.53113866,0.9684221
5,0.45985115,0.97369504,0.52629024,0.9883109,0.5318282,0.99438447,0.5327948,0.9861578,0.53095895,0.96827203
6,0.45979595,0.9738293,0.52566135,0.9874552,0.5316449,0.99586976,0.53268737,0.9876281,0.53090996,0.9685981
7,0.45939615,0.97398067,0.5260559,0.98675704,0.5316225,0.9953307,0.5330762,0.9873502,0.53126544,0.9684168
8,0.45937377,0.97417367,0.52677006,0.98810446,0.53222555,0.9950471,0.53277254,0.98689806,0.530996,0.9686267
9,0.45939815,0.9742313,0.5267599,0.9877476,0.53233814,0.9953973,0.5325085,0.98685354,0.53068316,0.96891785
10,0.4589404,0.97477984,0.5255636,0.9887508,0.53116006,0.9953199,0.53224856,0.98752785,0.53022367,0.9689022
11,0.45913365,0.9751758,0.5258156,0.989051,0.53080505,0.9948446,0.53176534,0.9874302,0.529901,0.9687931
12,0.4592797,0.97541404,0.5262395,0.988847,0.5311339,0.9942697,0.53192043,0.9870577,0.5294169,0.9687782
13,0.4594415,0.9749532,0.52572876,0.98929125,0.5309104,0.993884,0.5317074,0.98642445,0.5297919,0.96877396
14,0.45858502,0.97517526,0.5249077,0.9880637,0.5298807,0.99396074,0.5311149,0.9876985,0.52954406,0.9692045
15,0.4586488,0.9753934,0.52596176,0.9884368,0.5299709,0.9943507,0.5310109,0.98789376,0.5292432,0.9696093
16,0.45855436,0.9751822,0.52429426,0.989083,0.5296659,0.99590683,0.53101623,0.9884678,0.529366,0.9705206
17,0.45783877,0.9737929,0.52451015,0.9897905,0.5300671,0.99492484,0.53092045,0.9870131,0.5290785,0.97145426
18,0.45786119,0.9732745,0.52431667,0.9902224,0.5295855,0.9944626,0.53068525,0.98800886,0.5285055,0.9721555
19,0.4576458,0.97148144,0.52368814,0.9898833,0.5295616,0.99441594,0.5304148,0.9880154,0.52839375,0.9724009
20,0.45661107,0.9712106,0.52351326,0.9908504,0.52932894,0.9938925,0.5301653,0.9872524,0.5285327,0.9719391
21,0.45688605,0.96928966,0.52309364,0.990752,0.5289895,0.99552494,0.52977264,0.9879994,0.5282651,0.972596
22,0.4568924,0.9695055,0.5227483,0.9898535,0.5277425,0.9938025,0.52855474,0.9876594,0.52740276,0.97362703
23,0.45724183,0.9700333,0.5225533,0.98958576,0.527749,0.9955484,0.52927285,0.98922354,0.52793366,0.9734815
24,0.45778906,0.9691373,0.52298206,0.9904398,0.52775216,0.99444133,0.52945286,0.9888048,0.5281139,0.9732001
25,0.45774764,0.9686797,0.5241038,0.99098176,0.52957726,0.9938413,0.53029394,0.9872774,0.5288354,0.9724214
26,0.4574596,0.968424,0.52367145,0.99138397,0.53069675,0.9933867,0.5308957,0.98619986,0.5291425,0.9719694
27,0.45739844,0.9688985,0.5252896,0.9916086,0.5297311,0.9917969,0.5302453,0.9857871,0.5286659,0.9709678
28,0.45747533,0.97097063,0.52668524,0.99338037,0.5302172,0.99109334,0.5301604,0.9834112,0.52872044,0.9703875
29,0.45711342,0.9724161,0.527532,0.9939521,0.52977324,0.9897179,0.5308517,0.98201835,0.5295965,0.97056425
30,0.45524818,0.97419256,0.5289906,0.99390227,0.5309003,0.98697776,0.53081197,0.9794951,0.529267,0.97043645
